,name,draft_year,prospect_gp,prospect_pim,prospect_pm,draft_round,pick_no,dob,birth_country,weight,shoots,prospect_category,amateur_league,amateur_team,200+games,birth_month,height_cm,translation_factor,eq_g,eq_a,eq_pts,oGVT,dGVT,overall_GVT,position_2
1004,Matt Iacopelli,2014,58,47,12,3,83,1994-05-15,USA,204,L,North American Skater,USHL,Muskegon,0,5,187.96,0.41,15.42,8.65,24.07,-1.99,0.16,-1.83,F
1005,Kyle Wood,2014,33,21,15,3,84,1996-05-04,CAN,223,R,North American Skater,OHL,North Bay,0,5,193.04,0.31,1.29,6.45,7.74,-1.36,-0.92,-2.2800000000000002,D
1006,Keegan Iverson,2014,67,70,16,3,85,1996-04-05,USA,223,R,North American Skater,WHL,Portland,0,4,185.42,0.28,6.29,5.71,12.0,-4.0,0.03,-3.97,F
1007,Anton Karlsson,2014,49,36,14,3,87,1996-10-21,SWE,165,R,European Skater,SWEDEN-JR.,Frolunda Jr.,0,10,180.34,0.41,4.01,6.68,10.69,-4.22,0.16,-4.06,F
1008,Nathan Walker,2014,43,40,-3,3,89,1994-02-07,GBR,180,L,North American Skater,AHL,Hershey,0,2,182.88,0.41,2.54,3.05,5.58,-5.07,0.16,-4.91,F
1009,Michael Amadio,2014,64,14,15,3,90,1996-05-13,CAN,196,R,North American Skater,OHL,North Bay,1,5,185.42,0.31,3.99,8.65,12.64,-3.89,0.06,-3.83,F
1010,William Lagesson,2014,52,32,33,4,91,1996-02-22,SWE,198,L,European Skater,SWEDEN-JR.,Frolunda Jr.,0,2,187.96,0.41,4.83,7.51,12.32,-0.7,-0.57,-1.27,D
1011,Joe Wegwerth,2014,85,201,1,4,92,1996-06-16,USA,232,L,North American Skater,USHL,USA U-18,0,6,190.5,0.41,1.67,2.34,4.01,-5.33,0.16,-5.17,F
1012,Nick Magyar,2014,66,20,-18,4,93,1996-05-29,USA,195,R,North American Skater,OHL,Kitchener,0,5,187.96,0.31,6.49,8.43,14.91,-3.52,0.06,-3.46,F
1013,Josh Wesley,2014,68,62,-6,4,96,1996-04-09,USA,207,R,North American Skater,OHL,Plymouth,0,4,190.5,0.31,0.62,2.19,2.8,-2.06,-0.92,-2.98,D
1014,Lucas Wallmark,2014,58,8,0,4,97,1995-09-05,SWE,180,L,North American Skater,SWEDEN,Lulea,0,9,182.88,0.62,3.14,9.42,12.57,-3.9,0.37,-3.53,F
1015,Fredrik Olofsson,2014,52,45,-8,4,98,1996-05-27,SWE,185,L,North American Skater,USHL,Chicago,0,5,187.96,0.41,3.26,8.16,11.43,-4.09,0.16,-3.9299999999999997,F
1016,Chase De Leo,2014,72,36,49,4,99,1995-10-25,USA,178,L,North American Skater,WHL,Portland,0,10,175.26,0.28,10.12,10.89,21.01,-2.5,0.03,-2.47,F
1017,Nelson Nogier,2014,37,25,-2,4,101,1996-05-27,CAN,201,R,North American Skater,WHL,Saskatoon,0,5,187.96,0.28,0.52,2.61,3.14,-2.02,-1.02,-3.04,D
1018,Alexis Vanier,2014,61,52,11,4,102,1995-12-21,CAN,225,L,North American Skater,QMJHL,Baie Comeau,0,12,198.12,0.25,4.14,5.79,9.94,-1.04,-1.12,-2.16,D
1019,J.J. Piccinich,2014,61,31,-12,4,103,1996-06-12,USA,190,R,North American Skater,USHL,Youngstown,0,6,182.88,0.41,12.52,14.38,26.91,-1.51,0.16,-1.35,F
1020,Ryan Mantha,2014,53,71,11,4,104,1996-06-18,USA,225,R,North American Skater,USHL,Sioux City,0,6,195.58,0.41,1.6,6.44,8.04,-1.32,-0.57,-1.8900000000000001,D
1021,Michael Prapavessis,2014,56,6,0,4,105,1996-01-07,CAN,173,L,North American Skater,OJHL,Toronto Lakeshore,0,1,185.42,0.41,4.43,26.13,30.57,1.9,-0.57,1.33,D
1022,Christoffer Ehn,2014,66,18,9,4,106,1996-04-05,SWE,187,L,European Skater,SWEDEN-JR.,Frolunda Jr.,0,4,190.5,0.41,5.09,7.64,12.74,-3.88,0.16,-3.7199999999999998,F
1023,Julien Pelletier,2014,67,28,-8,4,107,1996-06-28,CAN,181,L,North American Skater,QMJHL,Cape Breton,0,6,182.88,0.25,6.46,6.46,12.93,-3.85,0.0,-3.85,F
1024,Devon Toews,2014,37,10,10,4,108,1994-02-21,CAN,175,L,North American Skater,ECAC,Quinnipiac,1,2,180.34,0.41,0.59,9.43,10.02,-1.03,-0.57,-1.6,D
1025,Austin Poganski,2014,55,57,-27,4,110,1996-02-16,USA,198,R,North American Skater,USHL,Tri-City,0,2,185.42,0.41,9.62,6.08,15.7,-3.38,0.16,-3.2199999999999998,F
1026,Viktor Arvidsson,2014,50,59,4,4,112,1993-04-08,SWE,172,R,European Skater,SWEDEN,Skelleftea,1,4,175.26,0.62,10.56,15.83,26.39,-1.6,0.37,-1.23,F
1027,Alexis Pepin,2014,60,69,-1,4,114,1996-04-24,CAN,230,L,North American Skater,QMJHL,Gatineau,0,4,187.96,0.25,4.87,4.87,9.73,-4.38,0.0,-4.38,F
1028,Michael Bunting,2014,48,34,10,4,117,1995-09-17,CAN,192,L,North American Skater,OHL,Sault Ste. Marie,0,9,182.88,0.31,6.43,11.59,18.02,-3.0,0.06,-2.94,F
1029,Ben Thomas,2014,72,39,11,4,119,1996-05-28,CAN,186,R,North American Skater,WHL,Calgary,0,5,187.96,0.28,1.88,6.44,8.32,-1.28,-1.02,-2.3,D
1030,Steven Johnson,2014,56,6,23,4,120,1994-06-27,USA,185,L,North American Skater,USHL,Omaha,0,6,182.88,0.41,1.95,10.12,12.08,-0.74,-0.57,-1.31,D
1031,Max Willman,2014,36,6,0,5,121,1995-02-13,USA,181,L,North American Skater,HIGH-MA,Williston-North Hampton,0,2,182.88,0.41,16.34,22.62,38.95,0.49,0.16,0.65,F
1032,Richard Nejezchleb,2014,66,75,-12,5,122,1994-05-02,CZE,203,L,North American Skater,WHL,Brandon,0,5,187.96,0.28,7.22,5.65,12.87,-3.85,0.03,-3.8200000000000003,F
1033,Matthew Berkovitz,2014,45,12,16,5,123,1996-02-16,USA,190,L,North American Skater,HIGH-WI,Ashwaubenon,0,2,185.42,0.41,8.67,22.29,30.97,1.96,-0.57,1.3900000000000001,D
1034,Jaedon Descheneau,2014,70,54,27,5,124,1995-02-22,CAN,192,R,North American Skater,WHL,Kootenay,0,2,172.72,0.28,9.79,12.02,21.81,-2.37,0.03,-2.3400000000000003,F
1035,Nikolas Koberstein,2014,51,153,0,5,125,1996-01-19,CAN,187,R,North American Skater,AJHL,Olds,0,1,187.96,0.41,2.72,7.07,9.8,-1.06,-0.57,-1.63,D
1036,Gustav Forsling,2014,49,38,-3,5,126,1996-06-12,SWE,185,L,European Skater,SWEDEN-JR.,Linkoping Jr.,1,6,182.88,0.41,5.2,8.67,13.86,-0.48,-0.57,-1.0499999999999998,D
1037,Clark Bishop,2014,56,54,-8,5,127,1996-03-29,CAN,192,L,North American Skater,QMJHL,Cape Breton,0,3,182.88,0.25,4.27,5.8,10.06,-4.32,0.0,-4.32,F
1038,Dakota Joshua,2014,55,58,6,5,128,1996-05-15,USA,188,L,North American Skater,USHL,Sioux Falls,0,5,187.96,0.41,8.7,10.75,19.45,-2.76,0.16,-2.5999999999999996,F
1039,C.J. Suess,2014,53,43,19,5,129,1994-03-17,USA,185,L,North American Skater,USHL,Sioux Falls,0,3,180.34,0.41,9.05,11.93,20.99,-2.5,0.16,-2.34,F
1040,Ryan Rehill,2014,72,182,-4,5,131,1995-11-07,CAN,228,R,North American Skater,WHL,Kamloops,0,11,187.96,0.28,1.04,4.16,5.18,-1.72,-1.02,-2.74,D
1041,Joonas Lyytinen,2014,58,56,-10,5,132,1995-04-04,FIN,154,L,European Skater,FINLAND,Kalpa,0,4,182.88,0.46,4.45,10.69,15.13,-0.3,-0.39,-0.69,D
1042,Dysin Mayo,2014,68,50,18,5,133,1996-08-17,CAN,185,R,North American Skater,WHL,Edmonton,0,8,182.88,0.28,2.02,8.36,10.38,-0.98,-1.02,-2.0,D
1043,Shane Gersich,2014,87,22,15,5,134,1996-07-10,USA,176,L,North American Skater,USHL,USA U-18,0,7,180.34,0.41,7.84,7.84,15.67,-3.39,0.16,-3.23,F
1044,Miro Karjalainen,2014,39,57,0,5,135,1996-05-23,FIN,213,R,European Skater,FINLAND-JR. U18,Jokerit U18,0,5,195.58,0.41,0.72,5.08,5.81,-1.63,-0.57,-2.1999999999999997,D
1045,Tyler Bird,2014,37,0,0,5,137,1996-08-14,USA,200,R,North American Skater,HIGH-NH,Kimball Union Academy,0,8,187.96,0.41,25.47,20.84,46.31,1.72,0.16,1.88,F
1046,Oskar Lindblom,2014,53,28,9,5,138,1996-08-15,SWE,191,L,European Skater,SWEDEN-JR.,Brynas Jr.,1,8,185.42,0.41,11.31,13.47,24.79,-1.87,0.16,-1.7100000000000002,F
1047,Tanner Faith,2014,10,9,-1,5,139,1995-10-05,CAN,215,R,North American Skater,WHL,Kootenay,0,10,190.5,0.28,0.0,1.86,1.86,-2.2,-1.02,-3.22,D
1048,Daniel Walcott,2014,67,71,15,5,140,1994-02-19,CAN,165,L,North American Skater,QMJHL,Blainville-Boisbriand,0,2,180.34,0.25,1.98,5.76,7.74,-1.36,-1.12,-2.4800000000000004,D
1049,Luc Snuggerud,2014,51,33,5,5,141,1995-09-18,USA,180,L,North American Skater,HIGH-MN,Eden Prarie,0,9,182.88,0.41,7.48,26.7,34.17,2.42,-0.57,1.85,D
1050,Tyler Nanne,2014,56,72,5,5,142,1996-03-17,USA,183,R,North American Skater,HIGH-MN,Edina H.S.,0,3,177.8,0.41,6.5,16.01,22.51,0.75,-0.57,0.18000000000000005,D
1051,Miguel Fidler,2014,51,60,3,5,143,1996-03-17,USA,192,L,North American Skater,HIGH-MN,Edina H.S.,0,3,182.88,0.41,13.73,18.12,31.86,-0.69,0.16,-0.5299999999999999,F
1052,Anton Lindholm,2014,47,38,-1,5,144,1994-11-29,SWE,198,L,European Skater,SWEDEN-JR.,Skelleftea Jr.,0,11,182.88,0.41,0.47,2.84,3.31,-1.99,-0.57,-2.56,D
1053,Anthony Angello,2014,58,85,-10,5,145,1996-03-06,USA,205,R,North American Skater,USHL,Omaha,0,3,193.04,0.41,5.28,4.81,10.09,-4.32,0.16,-4.16,F
1054,Anders Bjork,2014,87,10,14,5,146,1996-08-05,USA,182,L,North American Skater,USHL,USA U-18,1,8,182.88,0.41,9.85,10.84,20.68,-2.55,0.16,-2.3899999999999997,F
1055,Daniel Audette,2014,68,79,-37,5,147,1996-05-06,USA,174,L,North American Skater,QMJHL,Sherbrooke,0,5,175.26,0.25,5.3,13.89,19.19,-2.8,0.0,-2.8,F
1056,Andreas Soderberg,2014,48,34,12,5,148,1996-06-16,SWE,205,L,European Skater,SWEDEN-JR.,Skelleftea Jr.,0,6,193.04,0.41,1.19,4.15,5.33,-1.7,-0.57,-2.27,D
1057,Rourke Chartier,2014,72,8,26,5,149,1996-04-03,CAN,185,L,North American Skater,WHL,Kelowna,0,4,180.34,0.28,6.37,9.04,15.41,-3.43,0.03,-3.4000000000000004,F
1058,Christopher Brown,2014,41,21,1,6,151,1996-02-22,USA,183,R,North American Skater,HIGH-MI,Cranbrook Kingswood,0,2,182.88,0.41,25.15,43.5,68.65,5.44,0.16,5.6000000000000005,F
1059,J.D. Dudek,2014,32,16,0,6,152,1996-01-29,USA,182,R,North American Skater,HIGH-NH,Kimball Union Academy,0,1,180.34,0.41,7.8,31.22,39.03,0.5,0.16,0.66,F
1060,Tyler Vesel,2014,49,22,40,6,153,1994-04-14,USA,180,R,North American Skater,USHL,Omaha,0,4,180.34,0.41,14.69,16.92,31.61,-0.73,0.16,-0.57,F
1061,Aaron Haydon,2014,61,112,-39,6,154,1996-02-06,USA,213,R,North American Skater,OHL,Niagara,0,2,190.5,0.31,1.72,3.78,5.5,-1.68,-0.92,-2.6,D
1062,Kyle Schempp,2014,43,12,10,6,155,1994-01-13,USA,178,L,North American Skater,WCHA,Ferris State U.,0,1,182.88,0.44,5.44,8.16,13.61,-3.73,0.19,-3.54,F
1063,Kyle Pettit,2014,53,24,3,6,156,1996-01-19,CAN,200,L,North American Skater,OHL,Erie,0,1,193.04,0.31,1.98,1.98,3.96,-5.34,0.06,-5.28,F
1064,Jake Marchment,2014,57,53,4,6,157,1995-05-20,CAN,218,R,North American Skater,OHL,Belleville,0,5,190.5,0.31,3.11,6.85,9.95,-4.34,0.06,-4.28,F
1065,Nolan Vesey,2014,49,30,0,6,158,1995-03-28,USA,198,L,North American Skater,USPHL PRE.,South Shore,0,3,182.88,0.41,13.15,19.26,32.41,-0.6,0.16,-0.43999999999999995,F
1066,Steven Spinner,2014,56,80,1,6,159,1995-12-15,USA,202,R,North American Skater,HIGH-MN,Eden Prarie,0,12,182.88,0.41,12.76,18.65,31.42,-0.76,0.16,-0.6,F
1067,Pontus Sjalin,2014,31,12,21,6,160,1996-06-12,SWE,165,L,European Skater,J20 Elit,Ostersunds,0,6,182.88,0.41,3.65,4.57,8.21,-1.29,-0.57,-1.8599999999999999,D
1068,Brandon Baddock,2014,61,130,7,6,161,1995-03-29,CAN,205,L,North American Skater,WHL,Edmonton,0,3,193.04,0.28,1.55,2.83,4.38,-5.27,0.03,-5.239999999999999,F
1069,Aaron Irving,2014,68,90,22,6,162,1996-03-03,CAN,196,R,North American Skater,WHL,Edmonton,0,3,185.42,0.28,2.51,5.87,8.4,-1.26,-1.02,-2.2800000000000002,D
1070,David Westlund,2014,54,61,9,6,163,1995-02-05,SWE,207,L,European Skater,SWEDEN-JR.,Brynas Jr.,0,2,190.5,0.41,2.1,2.51,4.61,-1.81,-0.57,-2.38,D
1071,Pavel Kraskovsky,2014,47,30,23,6,164,1996-09-11,RUS,216,L,European Skater,RUSSIA-JR.,Yaroslavl 2,0,9,193.04,0.41,6.72,10.38,17.1,-3.15,0.16,-2.9899999999999998,F
1072,John Nyberg,2014,56,26,35,6,165,1996-07-14,SWE,202,L,European Skater,SWEDEN-JR.,Frolunda Jr.,0,7,190.5,0.41,6.09,15.22,21.3,0.58,-0.57,0.010000000000000009,D
1073,Julius Vahatalo,2014,51,6,22,6,166,1995-03-23,FIN,198,L,European Skater,Finland Jr.,TPS Jr.,0,3,195.58,0.41,9.48,9.48,18.96,-2.84,0.16,-2.6799999999999997,F
1074,Chase Lang,2014,68,52,13,6,167,1996-09-13,CAN,179,L,North American Skater,WHL,Calgary,0,9,185.42,0.28,2.88,4.32,7.21,-4.8,0.03,-4.77,F
1075,Radel Fazleyev,2014,38,12,1,6,168,1996-01-07,RUS,191,L,European Skater,WHL,Calgary,0,1,185.42,0.28,2.48,9.93,12.4,-3.93,0.03,-3.9000000000000004,F
1076,Reid Duke,2014,62,91,-47,6,169,1996-01-28,CAN,190,R,North American Skater,WHL,Lethbridge,0,1,182.88,0.28,4.58,7.64,12.22,-3.96,0.03,-3.93,F
1077,Cristiano DiGiacinto,2014,59,138,8,6,170,1996-01-10,CAN,187,L,North American Skater,OHL,Windsor,0,1,180.34,0.31,8.84,4.95,13.8,-3.7,0.06,-3.64,F
1078,Kevin Labanc,2014,65,30,3,6,171,1995-12-12,USA,186,R,North American Skater,OHL,Barrie,1,12,180.34,0.31,3.52,7.67,11.19,-4.13,0.06,-4.07,F
1079,C.J. Yakimowicz,2014,54,109,6,6,172,1996-01-26,USA,210,R,North American Skater,OHL,London,0,1,187.96,0.31,3.5,5.44,8.94,-4.51,0.06,-4.45,F
1080,Jaden Lindo,2014,40,41,-9,6,173,1996-01-11,CAN,215,R,North American Skater,OHL,Owen Sound,0,1,185.42,0.31,4.69,4.69,9.39,-4.43,0.06,-4.37,F
1081,Adam Ollas Mattsson,2014,42,46,9,6,175,1996-07-30,SWE,216,L,European Skater,SWEDEN-JR.,Djurgarden Jr.,0,7,193.04,0.41,0.68,7.48,8.16,-1.3,-0.57,-1.87,D
1082,Sammy Blais,2014,46,12,4,6,176,1996-06-17,CAN,188,L,North American Skater,QMJHL,Victoriaville,1,6,187.96,0.25,6.03,12.43,18.45,-2.93,0.0,-2.93,F
1083,Dylan Sikura,2014,41,16,0,6,178,1995-06-01,CAN,149,L,North American Skater,OJHL,Aurora,0,6,180.34,0.41,9.72,26.88,36.6,0.1,0.16,0.26,F
1084,Matt Mistele,2014,56,59,-4,6,180,1995-10-17,CAN,190,L,North American Skater,OHL,Plymouth,0,10,187.96,0.31,6.65,7.01,13.67,-3.72,0.06,-3.66,F
1085,Victor Olofsson,2014,55,16,13,7,181,1995-07-18,SWE,172,L,European Skater,SWEDEN-JR.,Modo Jr.,1,7,180.34,0.41,13.89,9.12,23.0,-2.17,0.16,-2.01,F
1086,Austin Carroll,2014,70,114,18,7,184,1994-03-26,CAN,216,R,North American Skater,WHL,Victoria,0,3,190.5,0.28,7.24,4.89,12.13,-3.98,0.03,-3.95,F
1087,Cam Darcy,2014,65,51,3,7,185,1994-03-02,USA,192,R,North American Skater,QMJHL,Cape Breton,0,3,182.88,0.25,7.16,9.62,16.78,-3.2,0.0,-3.2,F
1088,Mackenze Stewart,2014,55,69,-7,7,186,1995-08-10,CAN,240,L,North American Skater,WHL,Prince Albert,0,8,190.5,0.28,1.48,1.19,2.67,-2.08,-1.02,-3.1,D
1089,Kyle Jenkins,2014,63,28,6,7,187,1996-04-22,CAN,180,L,North American Skater,OHL,Sault Ste. Marie,0,4,182.88,0.31,2.36,6.08,8.45,-1.26,-0.92,-2.18,D
1090,Pierre Engvall,2014,60,52,42,7,188,1996-05-31,SWE,198,L,European Skater,SWEDEN-JR.,Frolunda Jr.,1,5,193.04,0.41,13.2,20.76,33.96,-0.34,0.16,-0.18000000000000002,F
1091,Kelly Summers,2014,65,14,1,7,189,1996-04-29,CAN,191,R,North American Skater,CCHL,Carleton Place,0,4,187.96,0.41,7.37,19.92,27.29,1.43,-0.57,0.86,D
1092,Francis Perron,2014,68,32,-3,7,190,1996-04-18,CAN,163,L,North American Skater,QMJHL,Rouyn-Noranda,0,4,182.88,0.25,4.04,9.85,13.89,-3.69,0.0,-3.69,F
1093,Jared Fiegl,2014,61,36,-2,7,191,1996-01-23,USA,206,L,North American Skater,USHL,USA U-18,0,1,185.42,0.41,0.91,1.82,2.73,-5.54,0.16,-5.38,F
1094,Edgars Kulda,2014,71,61,37,7,193,1994-11-13,LVA,189,L,North American Skater,WHL,Edmonton,0,11,182.88,0.28,7.2,6.99,14.19,-3.64,0.03,-3.6100000000000003,F
1095,Kevin Elgestal,2014,55,52,28,7,194,1996-05-29,SWE,198,R,European Skater,SWEDEN-JR.,Frolunda Jr.,0,5,185.42,0.41,9.26,14.92,24.19,-1.97,0.16,-1.81,F
1096,Patrick Sanvido,2014,64,82,-21,7,195,1996-06-28,CAN,232,L,North American Skater,OHL,Windsor,0,6,195.58,0.31,0.34,2.35,2.68,-2.08,-0.92,-3.0,D
1097,Axel Holmstrom,2014,37,12,16,7,196,1996-06-29,SWE,198,L,European Skater,SWEDEN-JR.,Skelleftea Jr.,0,6,182.88,0.41,11.52,17.66,29.18,-1.14,0.16,-0.9799999999999999,F
1098,Olivier LeBlanc,2014,56,58,-15,7,197,1996-02-17,CAN,167,L,North American Skater,QMJHL,Saint John,0,2,180.34,0.25,2.13,7.88,10.01,-1.03,-1.12,-2.1500000000000004,D
1099,Jesper Pettersson,2014,62,69,-6,7,198,1994-07-16,SWE,187,R,European Skater,SWEDEN,Linkoping,0,7,175.26,0.62,1.06,2.66,3.72,-1.93,0.17,-1.76,D
1100,Pavel Jenys,2014,62,39,-3,7,199,1996-04-02,CZE,209,L,North American Skater,Czech Republic,Brno,0,4,190.5,0.41,7.22,2.71,9.94,-4.34,0.16,-4.18,F
1101,Alexander Kadeykin,2014,58,26,14,7,201,1993-10-04,RUS,213,L,European Skater,RUSSIA,Mytischi,0,10,190.5,0.41,3.38,5.64,9.03,-4.5,0.16,-4.34,F
1102,Dwyer Tschantz,2014,52,58,31,7,202,1995-03-22,USA,209,R,North American Skater,USHL,Indiana,0,3,195.58,0.41,10.63,8.85,19.47,-2.76,0.16,-2.5999999999999996,F
1103,Jeff Taylor,2014,41,18,21,7,203,1994-04-13,USA,180,L,North American Skater,ECAC,Union College,0,4,182.88,0.41,1.6,6.92,8.51,-1.25,-0.57,-1.8199999999999998,D
1104,Julien Nantel,2014,68,18,2,7,204,1996-09-06,CAN,200,L,North American Skater,QMJHL,Rouyn-Noranda,0,9,182.88,0.25,3.6,5.15,8.75,-4.54,0.0,-4.54,F
1105,Ondrej Kase,2014,57,22,10,7,205,1995-11-08,CZE,170,R,European Skater,Czech Republic,Chomutov,1,11,182.88,0.41,6.23,6.72,12.96,-3.84,0.16,-3.6799999999999997,F
1106,Emil Johansson,2014,48,48,13,7,206,1996-05-06,SWE,194,L,European Skater,SWEDEN-JR.,HV 71 Jr.,0,5,182.88,0.41,2.34,5.87,8.21,-1.29,-0.57,-1.8599999999999999,D
1107,Jack Ramsey,2014,57,27,0,7,208,1995-11-02,USA,186,R,North American Skater,BCHL,Penticton,0,11,187.96,0.41,4.32,7.68,12.0,-4.0,0.16,-3.84,F
1108,Spencer Watson,2014,65,16,31,7,209,1996-04-25,CAN,169,R,North American Skater,OHL,Kingston,0,4,177.8,0.31,10.81,11.46,22.27,-2.29,0.06,-2.23,F
1109,Connor McDavid,2015,47,48,60,1,1,1997-01-13,CAN,195,L,North American Skater,OHL,Erie,1,1,185.42,0.31,19.54,33.76,53.29,2.88,0.06,2.94,F
1110,Jack Eichel,2015,40,28,51,1,2,1996-10-28,USA,196,R,North American Skater,H-EAST,Boston University,1,10,187.96,0.38,16.48,28.51,45.0,1.5,0.13,1.63,F
1111,Dylan Strome,2015,71,32,47,1,3,1997-03-07,CAN,185,L,North American Skater,OHL,Erie,1,3,190.5,0.31,14.24,24.93,39.17,0.53,0.06,0.5900000000000001,F
1112,Mitchell Marner,2015,66,53,36,1,4,1997-05-05,CAN,160,R,North American Skater,OHL,London,1,5,180.34,0.31,14.52,27.74,42.25,1.04,0.06,1.1,F
1113,Noah Hanifin,2015,37,16,12,1,5,1997-01-25,USA,203,L,North American Skater,H-EAST,Boston College,1,1,190.5,0.38,3.47,12.51,15.98,-0.18,-0.67,-0.8500000000000001,D
1114,Pavel Zacha,2015,37,56,5,1,6,1997-04-06,CZE,210,L,North American Skater,OHL,Sarnia,1,4,190.5,0.31,9.15,10.31,19.46,-2.76,0.06,-2.6999999999999997,F
1115,Ivan Provorov,2015,60,42,36,1,7,1997-01-13,RUS,201,L,North American Skater,WHL,Brandon,1,1,185.42,0.28,4.71,14.46,19.17,0.27,-1.02,-0.75,D
1116,Zach Werenski,2015,35,8,9,1,8,1997-07-19,USA,206,L,North American Skater,BIG10,U. of Michigan,1,7,187.96,0.33,5.91,10.51,16.42,-0.12,-0.84,-0.96,D
1117,Timo Meier,2015,61,59,20,1,9,1996-10-08,CHE,213,L,North American Skater,QMJHL,Halifax,1,10,187.96,0.25,11.98,12.53,24.5,-1.92,0.0,-1.92,F
1118,Mikko Rantanen,2015,62,51,-1,1,10,1996-10-29,FIN,216,L,European Skater,FINLAND,TPS,1,10,193.04,0.46,5.44,9.41,14.85,-3.52,0.21,-3.31,F
1119,Lawson Crouse,2015,59,74,10,1,11,1997-06-23,CAN,215,L,North American Skater,OHL,Kingston,1,6,193.04,0.31,10.92,8.01,18.93,-2.85,0.06,-2.79,F
1120,Denis Guryanov,2015,31,41,3,1,12,1997-06-07,RUS,192,L,North American Skater,RUSSIA-JR.,Togliatti 2,1,6,190.5,0.41,13.7,10.04,23.73,-2.04,0.16,-1.8800000000000001,F
1121,Jakub Zboril,2015,44,73,2,1,13,1997-02-21,CZE,200,L,North American Skater,QMJHL,Saint John,0,2,185.42,0.25,5.02,7.73,12.74,-0.64,-1.12,-1.7600000000000002,D
1122,Jake DeBrusk,2015,72,40,-9,1,14,1996-10-17,CAN,174,L,North American Skater,WHL,Swift Current,1,10,182.88,0.28,10.89,10.12,21.01,-2.5,0.03,-2.47,F
1123,Zach Senyshyn,2015,66,17,30,1,15,1997-03-30,CAN,195,R,North American Skater,OHL,Sault Ste. Marie,0,3,187.96,0.31,8.34,6.1,14.44,-3.59,0.06,-3.53,F
1124,Mathew Barzal,2015,47,22,13,1,16,1997-05-26,CAN,175,R,North American Skater,WHL,Seattle,1,5,180.34,0.28,4.93,18.91,23.85,-2.02,0.03,-1.99,F
1125,Kyle Connor,2015,56,6,3,1,17,1996-12-09,USA,177,L,North American Skater,USHL,Youngstown,1,12,185.42,0.41,16.69,22.59,39.28,0.55,0.16,0.7100000000000001,F
1126,Thomas Chabot,2015,66,62,6,1,18,1997-01-30,CAN,190,L,North American Skater,QMJHL,Saint John,1,1,187.96,0.25,3.08,7.44,10.51,-0.96,-1.12,-2.08,D
1127,Yevgeni Svechnikov,2015,59,84,20,1,19,1996-10-31,RUS,205,L,North American Skater,QMJHL,Cape Breton,0,10,190.5,0.25,9.62,13.57,23.18,-2.14,0.0,-2.14,F
1128,Joel Eriksson Ek,2015,60,24,13,1,20,1997-01-29,SWE,203,L,European Skater,SWEDEN,Farjestad,1,1,187.96,0.62,17.49,9.1,26.57,-1.57,0.37,-1.2000000000000002,F
1129,Colin White,2015,74,38,17,1,21,1997-01-30,USA,183,R,North American Skater,USHL,USA U-18,1,1,182.88,0.41,10.12,16.5,26.63,-1.56,0.16,-1.4000000000000001,F
1130,Brock Boeser,2015,62,30,-1,1,23,1997-02-25,USA,191,R,North American Skater,USHL,Waterloo,1,2,182.88,0.41,16.63,16.63,33.27,-0.45,0.16,-0.29000000000000004,F
1131,Travis Konecny,2015,63,34,-1,1,24,1997-03-11,CAN,183,R,North American Skater,OHL,Ottawa,1,3,177.8,0.31,10.03,13.38,23.41,-2.1,0.06,-2.04,F
1132,Jack Roslovic,2015,90,36,19,1,25,1997-01-29,USA,182,R,North American Skater,USHL,USA U-18,1,1,182.88,0.41,11.72,24.36,36.08,0.01,0.16,0.17,F
1133,Noah Juulsen,2015,70,42,22,1,26,1997-04-02,CAN,186,R,North American Skater,WHL,Everett,0,4,187.96,0.28,2.46,12.02,14.48,-0.4,-1.02,-1.42,D
1134,Jacob Larsson,2015,58,57,12,1,27,1997-04-29,SWE,191,L,European Skater,SWEDEN-JR.,Frolunda Jr.,0,4,187.96,0.41,4.86,6.8,11.65,-0.8,-0.57,-1.37,D
1135,Anthony Beauvillier,2015,70,74,16,1,28,1997-06-08,CAN,182,L,North American Skater,QMJHL,Shawinigan,1,6,177.8,0.25,10.85,13.06,23.91,-2.01,0.0,-2.01,F
1136,Gabriel Carlsson,2015,53,16,26,1,29,1997-01-02,SWE,187,L,European Skater,SWEDEN-JR.,Linkoping Jr.,0,1,193.04,0.41,1.04,6.25,7.29,-1.42,-0.57,-1.9899999999999998,D
1137,Nick Merkley,2015,80,99,30,1,30,1997-05-23,CAN,191,R,North American Skater,WHL,Kelowna,0,5,177.8,0.28,5.55,17.64,23.19,-2.13,0.03,-2.1,F
1138,Jeremy Roy,2015,49,37,-2,2,31,1997-05-14,CAN,196,R,North American Skater,QMJHL,Sherbrooke,0,5,185.42,0.25,2.1,13.31,15.42,-0.26,-1.12,-1.3800000000000001,D
1139,Christian Fischer,2015,91,32,16,2,32,1997-04-15,USA,212,R,North American Skater,USHL,USA U-18,1,4,187.96,0.41,14.16,14.78,28.94,-1.18,0.16,-1.02,F
1140,Mitchell Stephens,2015,65,44,-17,2,33,1997-02-05,CAN,192,R,North American Skater,OHL,Saginaw,0,2,180.34,0.31,7.75,8.71,16.47,-3.26,0.06,-3.1999999999999997,F
1141,Travis Dermott,2015,61,53,23,2,34,1996-12-22,CAN,210,L,North American Skater,OHL,Erie,1,12,180.34,0.31,2.74,12.66,15.4,-0.26,-0.92,-1.1800000000000002,D
